file_name	model	TI_categories	replicate	likelihood	lik_L_51-13	lik_L_13-12	lik_L_12-10	lik_L_10-0	lik_M_51-13	lik_M_13-11	lik_M_11-0
Fix_1_2_TOC_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-374.274	-34.78	-90.246	-61.998	-124.672	-2.417	-30.549	-29.611
Fix_1_2_TOCabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-362.166	-35.18	-79.646	-62.204	-123.394	-1.594	-30.267	-29.881
Fix_2_1_ArbPol_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-382.748	-39.416	-84.576	-80.367	-114.155	-2.568	-32.682	-28.982
Fix_2_1_ArbPolabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-378.178	-39.631	-83.012	-80.935	-111.576	-2.494	-32.486	-28.043
Fix_2_1_Ca_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-374.457	-39.095	-77.0	-81.317	-111.669	-3.281	-32.6	-29.496
Fix_2_1_Caabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-384.123	-38.81	-86.024	-81.554	-113.047	-2.854	-33.173	-28.662
Fix_2_1_DD_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-368.91	-41.521	-72.718	-79.509	-110.075	-4.198	-32.493	-28.395
Fix_2_1_DecOaks_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-370.905	-38.953	-77.896	-78.705	-112.215	-2.727	-32.271	-28.137
Fix_2_1_DecOaksabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-366.25	-38.928	-71.547	-79.321	-113.521	-2.7	-32.666	-27.566
Fix_2_1_Grainsize_0_s_13.66_12.46_10.48_13.66_11.95constSp_constEx_HP	NA	10	0	-381.32	-38.444	-84.794	-80.192	-112.304	-3.926	-33.038	-28.621
Fix_2_1_Grainsize_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-363.477	-38.891	-71.443	-79.407	-111.37	-1.639	-32.885	-27.841
Fix_2_1_Grainsizeabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-367.699	-39.136	-70.997	-80.868	-112.761	-1.566	-33.489	-28.884
Fix_2_1_Ins41_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-381.573	-39.198	-85.482	-81.013	-112.923	-2.868	-32.613	-27.476
Fix_2_1_Ins41abschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-380.333	-38.703	-85.917	-81.078	-111.929	-3.297	-32.317	-27.092
Fix_2_1_Isotope_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-371.135	-38.658	-77.672	-80.352	-111.521	-2.311	-32.79	-27.833
Fix_2_1_Isotopeabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-380.351	-38.527	-84.409	-80.569	-112.206	-3.741	-31.767	-29.131
Fix_2_1_K_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-372.3	-39.254	-74.989	-81.418	-111.608	-3.093	-33.096	-28.842
Fix_2_1_Kabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-378.127	-38.998	-85.005	-81.057	-111.425	-2.468	-32.126	-27.048
Fix_2_1_LR04_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-375.069	-38.938	-81.242	-80.073	-111.687	-2.876	-32.834	-27.42
Fix_2_1_LR04abschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-381.485	-38.279	-85.117	-80.131	-113.91	-4.384	-31.903	-27.761
Fix_2_1_Medstack_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-372.391	-39.877	-76.97	-80.402	-111.826	-3.08	-32.983	-27.253
Fix_2_1_Medstackabschange_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-380.59	-38.77	-86.028	-80.955	-111.466	-3.457	-32.898	-27.017
Fix_2_1_Quartz_0_s_13.66_12.46_10.48_13.66_11.95linSp_linEx_HP	linEx	10	0	-368.163	-39.64	-73.241	-80.66	-111.091	-2.662	-32.407	-28.462
