"Species"	"Status"	"MinT"	"MaxT"	"Trait"
"SP_073"	"extinct"	6.0447075	6.0687075	1
"SP_073"	"extinct"	6.0799405	6.1039405	1
"SP_073"	"extinct"	6.110341	6.134341	1
"SP_073"	"extinct"	6.1401215	6.1641215	1
"SP_073"	"extinct"	6.1708375	6.1948375	1
"SP_073"	"extinct"	6.2000705	6.2240705	1
"SP_073"	"extinct"	6.23105	6.25505	1
"SP_073"	"extinct"	6.2615595	6.2855595	1
"SP_073"	"extinct"	7.263218	7.287218	1
"SP_073"	"extinct"	7.937765	7.961765	1
"SP_073"	"extinct"	9.645817	9.669817	1
"SP_073"	"extinct"	9.671412	9.695412	1
"SP_073"	"extinct"	9.69662	9.72062	1
"SP_073"	"extinct"	9.7224305	9.7464305	1
"SP_073"	"extinct"	9.74883	9.77283	1
"SP_073"	"extinct"	9.774277	9.798277	1
"SP_073"	"extinct"	9.797072	9.821072	1
"SP_073"	"extinct"	9.8210705	9.8450705	1
"SP_073"	"extinct"	9.8548085	9.8788085	1
"SP_073"	"extinct"	9.910506	9.934506	1
"SP_073"	"extinct"	9.9802635	10.0042635	1
"SP_073"	"extinct"	10.04415	10.06815	1
"SP_073"	"extinct"	10.090465	10.114465	1
"SP_073"	"extinct"	10.330175	10.354175	1
"SP_073"	"extinct"	10.52321	10.54721	1
"SP_073"	"extinct"	10.606805	10.630805	1
"SP_073"	"extinct"	10.84095	10.86495	1
"SP_073"	"extinct"	11.01568	11.03968	1
"SP_073"	"extinct"	11.05342	11.07742	1
"SP_073"	"extinct"	11.09286	11.11686	1
"SP_073"	"extinct"	11.131355	11.155355	1
"SP_073"	"extinct"	11.16917	11.19317	1
"SP_073"	"extinct"	11.211205	11.235205	1
"SP_073"	"extinct"	11.25886	11.28286	1
"SP_073"	"extinct"	11.309875	11.333875	1
"SP_073"	"extinct"	11.430195	11.454195	1
"SP_073"	"extinct"	11.4931	11.5171	1
"SP_073"	"extinct"	11.52425	11.54825	1
"SP_073"	"extinct"	11.561615	11.585615	1
"SP_073"	"extinct"	11.63508	11.65908	1
"SP_073"	"extinct"	11.670445	11.694445	1
